	text	retweet_count	favorite_count	created_at	
1	En la Academia Nacional de Medicina, el ministro @agaviriau participa en la ceremonia de posesión del doctor César… https://t.co/lhN2GgIdeB	1	3	Wed May 16 23:55:21 +0000 2018	
2	El ministro @agaviriau exalta el apoyo de @SoCientificas en la defensa de la vacunación contra el VPH y los impuest… https://t.co/UKVo6tR7TT	2	12	Wed May 16 23:42:16 +0000 2018	
3	La #LeyEstatutaria, #Mipres y la creación del @IETSColombia son un legado conjunto de @MinSaludCol y @SoCientificas… https://t.co/1gBgyXofrB	7	10	Wed May 16 23:37:45 +0000 2018	
4	Internet nos acerca y nos facilita la vida si lo usamos responsablemente. No cambies #MásTiempoEnFamilia por memes… https://t.co/Q0MdWWut7H	1	0	Wed May 16 23:00:56 +0000 2018	
5	Regalías aliviarán deudas de la salud. https://t.co/Nsm6HaUkLn https://t.co/br9kUcSDMJ	2	2	Wed May 16 22:40:07 +0000 2018	
6	#LogrosEnSalud Defensa de los derechos de la mujer y de la interrupción voluntaria del embarazo.… https://t.co/Hj5rWG0Pco	1	2	Wed May 16 22:20:08 +0000 2018	
7	La vacunación es la mejor forma de prevenir enfermedades graves. #RefuerzaTusDefensas  https://t.co/AaTjVgQAST https://t.co/oZw5qqywIl	2	6	Wed May 16 21:40:07 +0000 2018	
8	Siete recomendaciones para pacientes con asma. #ControlaElAsma. https://t.co/ey9bMTqI1Q Tómate la vida con un segun… https://t.co/XVgqyhQt9X	3	6	Wed May 16 21:00:38 +0000 2018	
9	El sexting no es un juego, es una actividad que puede terminar en abusos y explotación sexual de niños, niñas y ado… https://t.co/IfMCPS5KNg	1	1	Wed May 16 20:40:10 +0000 2018	
10	El #sarampión es una enfermedad causada por un virus, es muy contagiosa y <U+200B><U+200B>se transmite de persona a persona al in… https://t.co/DAcLOFwdQj	4	4	Wed May 16 20:20:13 +0000 2018	
11	Tener confianza con tus hijos puede ayudarte a solucionar las situaciones de riesgo que se generen a través de Inte… https://t.co/8xGB9mORo0	3	1	Wed May 16 20:00:46 +0000 2018	
12	Conéctate con los tuyos y colecciona más momentos en familia. #ElMejorRegalo #MásTiempoEnFamilia https://t.co/LSEIp80U87	1	2	Wed May 16 19:00:49 +0000 2018	
13	#LogrosEnSalud Mayores impuestos al tabaco y liderazgo en debate de impuestos a bebidas azucaradas.… https://t.co/gqwa7ofiNb	5	12	Wed May 16 18:40:12 +0000 2018	
14	RT @DapardAntioquia: #URGENTE | El @DapardAntioquia informa a la comunidad. https://t.co/NepBJ1tyGX	778	0	Wed May 16 17:58:22 +0000 2018	
15	#SaludParaLaPaz: fortaleciendo comunidades. La salud, como constructora de paz en el marco de los acuerdos. https://t.co/IXVQUhwsg4	5	3	Wed May 16 17:00:47 +0000 2018	
16	#TemporadaDeLluvias Tenga en cuenta estas precauciones para protegerse de las enfermedades respiratorias… https://t.co/OZimf4p2qv	2	1	Wed May 16 16:40:11 +0000 2018	
17	Las EPS deberán hacer ajustes en su funcionamiento para cumplir con las condiciones de habilitación y permanencia.… https://t.co/28jL0hydsa	31	24	Wed May 16 16:20:11 +0000 2018	
18	Las redes sociales nos acercan, pero también nos pueden alejar, disfruta #ElMejorRegalo #MásTiempoEnFamilia. https://t.co/7BSN3abdpj	3	3	Wed May 16 16:00:50 +0000 2018	
19	#LogrosEnSalud Avances en la afiliación: menores de 25 años pueden ser beneficiarios de sus padres (estudiando o no… https://t.co/74FUB0NZvZ	2	4	Wed May 16 15:40:11 +0000 2018	
20	Tercera jornada del Foro “ Cuéntanos tu experiencia en la Gestión del Riesgo en Salud” hoy Cajas de Compensación sí… https://t.co/folgkKJssw	3	7	Wed May 16 15:22:09 +0000 2018	
21	Ilumine y ventile su vivienda para prevenir #EnfermedadesRespiratorias #TemporadaDeLluvias https://t.co/OFBDcXIvgZ https://t.co/bwlcruU1If	3	1	Wed May 16 15:20:11 +0000 2018	
22	Tómate la vida con un segundo aire. Consulta a los servicios de salud ante la sospecha o síntomas de asma, para así… https://t.co/hWp1fH5fgW	5	2	Wed May 16 15:00:46 +0000 2018	
23	RT @SSaludBoyaca: #AEstaHora Inicia jornada de capacitación dirigida por @MinSaludCol y @SSaludBoyaca sobre certificación de discapacidad y…	3	0	Wed May 16 15:00:32 +0000 2018	
