text	retweet_count
#RespiraSinIRA Evita que a quien esté a tu lado le dé ira tu estornudo https://t.co/uEOIQ7LvxS	0
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @integracionbta: Hoy 191 habitantes de calle, decidieron darse un nuevo día, alejados del consumo y las calles. Aceptaron la invitación…	8
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA Consulta al médico si tienes alguno de estos síntomas https://t.co/HW5FNox4WN	0
TRUE	Fri Jan 21 15:06:18 +0000 2011
#QueOrgullo Durante la administración del alcalde @EnriquePenalosa, la #RutaDeLaSalud ha transportado a más de 155… https://t.co/7N0W9ssVYY	2
TRUE	Fri Jan 21 15:06:18 +0000 2011
#QueOrgullo Conoce nuestra nueva Unidad Pediátrica en la Unidad de Servicios de Salud San Blas.… https://t.co/n6FkiZJxA1	0
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónImparable <f0><U+009F><U+0092><U+0093> es para:	
	
8	9
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónValiente <f0><U+009F><U+0092><U+0093> es para:	
	
	
6	4
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA ¡Cuidado! Si tu hijo menor de 5 años tiene estos síntomas, debes llevarlo al médico de inmediato https://t.co/CAG5AER26D	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónInnovador <f0><U+009F><U+0092><U+0093> es para: 	
	
	
5	4
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @CanalCapital: ¡Gracias por estar siempre ahí!	
4	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @CanalCapital: Alcaldía de @EnriquePenalosa reconoce la labor de los 20 mil trabajadores de @SectorSalud con #HechosDeCorazón <f0><U+009F><U+0092><U+0093> <U+2192> https:…	7
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónImparable <f0><U+009F><U+0092><U+0093>  A los colaboradores que son líderes por naturaleza, quienes ven en los probl… https://t.co/hW36gSYk59	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónValiente <f0><U+009F><U+0092><U+0093> a los colaboradores que no se detienen ante nada para salvar… https://t.co/Q5lloiZaTu	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @EnriquePenalosa: En evento justo y bello de reconocimiento y agradecimiento a los 20.000 héroes de nuestro sector salud, que alivian el…	25
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @Capitalsalud: El reconocimiento #CorazónAnónimo <f0><U+009F><U+0092><U+0093> es para: 	
	
4	0
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónInnovador <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre buscan formas nuevas de reso… https://t.co/ywm81ADKo8	3
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónAmable <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre tienen una mano cálida, unos br… https://t.co/9POH9M2GAV	3
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA  Si tienes más de 60 años, sigue estas recomendaciones  para evitar las infecciones respiratorias https://t.co/26cnVHHcvD	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @CanalCapital: La Alcaldía de @EnriquePenalosa y @SectorSalud @luismorales0621 entregan el reconocimiento de  #CorazónAmable a los colab…	3
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @CanalCapital: .@SectorSalud hace reconocimiento a los funcionarios del Sector Salud <f0><U+009F><U+0094><U+00B4> #ENVIVO 	
	
2	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónAmable <f0><U+009F><U+0092><U+0093> es para: 	
	
	
7	8
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónAnónimo <f0><U+009F><U+0092><U+0093> A los colaboradores que por su labor, dedicación y esfuerzo ha… https://t.co/7Vi7mngx5u	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónATodaUnaVida <f0><U+009F><U+0092><U+0093> A los colaboradores que han dedicado más de 25 años de se… https://t.co/fNZQSHegzM	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónAnónimo <f0><U+009F><U+0092><U+0093> es para: 	
	
	
8	5
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy, desde el Teatro Roberto Arias Pérez entregaremos el Reconocimiento #HechosDeCorazón <f0><U+009F><U+0092><U+0093> puedes seguir la transmi… https://t.co/Jf4U2nZosq	5
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Reconocimientos #HechosDeCorazón <f0><U+009F><U+0092><U+0093>  contaron con un jurado de lujo, conformado por 15 personas, vinculadas a la aca… https://t.co/HziBBl9oCz	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @CanalCapital: La Alcaldía de @EnriquePenalosa y @SectorSalud @luismorales0621 entregan el #CorazónATodaUnaVida a los colaboradores que…	7
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónATodaUnaVida <f0><U+009F><U+0092><U+0093> es para:	
	
8	4
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Reconocimientos #HechosDeCorazón <f0><U+009F><U+0092><U+0093> valoran el trabajo a través de 6 categorías a todos los colaboradores del sector… https://t.co/y0DWzyYBpS	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Profesionales que no desisten a  la hora de prestar un mejor servicio, de regalar una sonrisa y de buscar solucione… https://t.co/DgP4WYxPBr	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @Bogota: Hoy entregaremos el reconocimiento #CorazónInnovador <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre buscan formas nuevas de resolver las cos…	4
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
RT @Bogota: ¿Ya conoces el himno del @SectorSalud? #HechosDeCorazón es una canción realizada con amor para todos los que trabajan en el sec…	5
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
"""Hemos logrado con las Subredes más profesionalismo, logramos acabar con las filas, creamos los CAPS, esfuerzo de t… https://t.co/LqxdkoDu6P"	4
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Cerca de 20 mil colaboradores relataron su día a día para salvar vidas #HechosDeCorazón <f0><U+009F><U+0092><U+0093> @sectorsalud… https://t.co/ldpsuelgIu	5
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
"""Reconocemos esta noche la labor de todo el personal que trabaja en el sector salud de Bogotá"" Alcalde… https://t.co/OLvGu5wr20"	10
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
.@SectorSalud reconoce a sus colaboradores el trabajo, dedicación y constancia para contribuir en la calidad de vid… https://t.co/KAqEtdDMnJ	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
El reconocimiento #CorazónImparable <f0><U+009F><U+0092><U+0093>  A los colaboradores que son líderes por naturaleza, quienes ven en los probl… https://t.co/KiiRMfmgj5	4
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónValiente <f0><U+009F><U+0092><U+0093> a los colaboradores que no se detienen ante nada para salvar… https://t.co/i7af5NZQEP	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#SDSAhora Estamos en la entrega de reconocimientos 	
13	14
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónInnovador <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre buscan formas nuevas de reso… https://t.co/OOEwhgX3vH	3
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónAmable <f0><U+009F><U+0092><U+0093> A los colaboradores que siempre tienen una mano cálida, unos br… https://t.co/0gyIjp0CoA	4
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
#RespiraSinIRA  Si tienes más de 60 años, sigue estas recomendaciones https://t.co/UUXhQOKG6J	0
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónAnónimo <f0><U+009F><U+0092><U+0093> A los colaboradores que por su labor, dedicación y esfuerzo ha… https://t.co/01D07dsZdX	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy entregaremos el reconocimiento #CorazónATodaUnaVida <f0><U+009F><U+0092><U+0093> A los colaboradores que han dedicado más de 25 años de se… https://t.co/X0acLMZqYG	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Hoy, desde el Teatro Roberto Arias Pérez entregaremos el Reconocimiento #HechosDeCorazón <f0><U+009F><U+0092><U+0093> puedes seguir la transmi… https://t.co/Z5CjbkYphh	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Reconocimientos #HechosDeCorazón <f0><U+009F><U+0092><U+0093>  contaron con un jurado de lujo, conformado por 15 personas, vinculadas a la aca… https://t.co/w5URbGzifo	1
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
Reconocimientos #HechosDeCorazón <f0><U+009F><U+0092><U+0093> valoran el trabajo a través de 6 categorías a todos los colaboradores del sector… https://t.co/p7qkpR3GsC	2
	
TRUE	Fri Jan 21 15:06:18 +0000 2011
